id,relationship,coeficients,trend,surface_level,spatial_autocorrelation,dataset_path,target_path,trend_path
20,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",none,large,none,dataset-TR_none_rel-linear-lvl_large-sac-none.csv,target-TR_none_rel-linear-lvl_large-sac-none.csv,trend_none.csv
21,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",none,large,high,dataset-TR_none_rel-polynom2-lvl_large-sac-high.csv,target-TR_none_rel-polynom2-lvl_large-sac-high.csv,trend_none.csv
22,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",none,large,low,dataset-TR_none_rel-polynom2-lvl_large-sac-low.csv,target-TR_none_rel-polynom2-lvl_large-sac-low.csv,trend_none.csv
23,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",none,large,none,dataset-TR_none_rel-polynom2-lvl_large-sac-none.csv,target-TR_none_rel-polynom2-lvl_large-sac-none.csv,trend_none.csv
24,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",none,large,high,dataset-TR_none_rel-polynom3-lvl_large-sac-high.csv,target-TR_none_rel-polynom3-lvl_large-sac-high.csv,trend_none.csv
25,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",none,large,low,dataset-TR_none_rel-polynom3-lvl_large-sac-low.csv,target-TR_none_rel-polynom3-lvl_large-sac-low.csv,trend_none.csv
26,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",none,large,none,dataset-TR_none_rel-polynom3-lvl_large-sac-none.csv,target-TR_none_rel-polynom3-lvl_large-sac-none.csv,trend_none.csv
27,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,small,high,dataset-TR_linear_rel-linear-lvl_small-sac-high.csv,target-TR_linear_rel-linear-lvl_small-sac-high.csv,trend_linear.csv
28,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,small,low,dataset-TR_linear_rel-linear-lvl_small-sac-low.csv,target-TR_linear_rel-linear-lvl_small-sac-low.csv,trend_linear.csv
29,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",linear,small,none,dataset-TR_linear_rel-linear-lvl_small-sac-none.csv,target-TR_linear_rel-linear-lvl_small-sac-none.csv,trend_linear.csv
30,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,small,high,dataset-TR_linear_rel-polynom2-lvl_small-sac-high.csv,target-TR_linear_rel-polynom2-lvl_small-sac-high.csv,trend_linear.csv
31,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,small,low,dataset-TR_linear_rel-polynom2-lvl_small-sac-low.csv,target-TR_linear_rel-polynom2-lvl_small-sac-low.csv,trend_linear.csv
32,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",linear,small,none,dataset-TR_linear_rel-polynom2-lvl_small-sac-none.csv,target-TR_linear_rel-polynom2-lvl_small-sac-none.csv,trend_linear.csv
